,Station,Heading,Time,Order,Speed,Flow,Lat,Lng
0,S328,NB,Thu Oct 11 17:46:29 CDT 2018,71,35,2160,44.890209999999996,-93.27616
1,S1943,SB,Thu Oct 11 17:46:29 CDT 2018,41,UNKNOWN,UNKNOWN,44.966029999999996,-93.26861
2,S1148,SB,Thu Oct 11 17:46:29 CDT 2018,68,UNKNOWN,UNKNOWN,44.87088,-93.29904
3,S559,SB,Thu Oct 11 17:46:29 CDT 2018,39,20,880,44.96608,-93.25418
4,S557,NB,Thu Oct 11 17:46:29 CDT 2018,47,7,880,44.96565,-93.25434
5,S556,NB,Thu Oct 11 17:46:29 CDT 2018,49,UNKNOWN,UNKNOWN,44.96544,-93.26478
6,S560,SB,Thu Oct 11 17:46:29 CDT 2018,40,UNKNOWN,UNKNOWN,44.96605,-93.26399
7,S579,SB,Thu Oct 11 17:46:29 CDT 2018,27,69,840,45.00091,-93.22346
8,S577,NB,Thu Oct 11 17:46:29 CDT 2018,24,67,1240,45.01014,-93.2004
9,S577,SB,Thu Oct 11 17:46:29 CDT 2018,25,67,1240,45.01014,-93.2004
10,S578,SB,Thu Oct 11 17:46:29 CDT 2018,26,59,800,45.00302,-93.21486999999999
11,S575,NB,Thu Oct 11 17:46:29 CDT 2018,22,70,1080,45.01167,-93.18791999999999
12,S576,SB,Thu Oct 11 17:46:29 CDT 2018,22,61,960,45.01181,-93.18838000000001
13,S584,SB,Thu Oct 11 17:46:29 CDT 2018,33,21,1200,44.97472,-93.24883
14,S585,SB,Thu Oct 11 17:46:29 CDT 2018,38,6,720,44.9676,-93.25392
15,S582,SB,Thu Oct 11 17:46:29 CDT 2018,30,69,1640,44.99115,-93.23659
16,S583,SB,Thu Oct 11 17:46:29 CDT 2018,31,22,1050,44.98175,-93.24396999999999
17,S580,SB,Thu Oct 11 17:46:29 CDT 2018,28,UNKNOWN,UNKNOWN,45.00273,-93.23333000000001
18,S568,NB,Thu Oct 11 17:46:29 CDT 2018,35,49,1440,44.983990000000006,-93.24197
19,S569,NB,Thu Oct 11 17:46:29 CDT 2018,34,79,1230,44.99116,-93.23629
20,S566,NB,Thu Oct 11 17:46:29 CDT 2018,44,32,1860,44.96743,-93.25369
21,S565,NB,Thu Oct 11 17:46:29 CDT 2018,48,UNKNOWN,UNKNOWN,44.96568,-93.26474
22,S573,NB,Thu Oct 11 17:46:29 CDT 2018,26,76,1080,45.00515,-93.20947
23,S574,NB,Thu Oct 11 17:46:29 CDT 2018,23,78,1020,45.00992,-93.20026999999999
24,S571,NB,Thu Oct 11 17:46:29 CDT 2018,31,56,1600,45.00199,-93.23465
25,S572,NB,Thu Oct 11 17:46:29 CDT 2018,29,67,1720,45.0007,-93.22349
26,S570,NB,Thu Oct 11 17:46:29 CDT 2018,33,75,1240,44.99644,-93.23823
27,S570,SB,Thu Oct 11 17:46:29 CDT 2018,29,75,1240,44.99644,-93.23823
28,S587,NB,Thu Oct 11 17:46:29 CDT 2018,25,62,780,45.00891,-93.20233
29,S2,SB,Thu Oct 11 17:46:29 CDT 2018,43,UNKNOWN,UNKNOWN,44.962590000000006,-93.26997
30,S3,SB,Thu Oct 11 17:46:29 CDT 2018,42,UNKNOWN,UNKNOWN,44.962140000000005,-93.26949
31,S4,SB,Thu Oct 11 17:46:29 CDT 2018,44,UNKNOWN,UNKNOWN,44.95512,-93.27083
32,S5,SB,Thu Oct 11 17:46:29 CDT 2018,45,UNKNOWN,UNKNOWN,44.95169,-93.27377
33,S6,SB,Thu Oct 11 17:46:29 CDT 2018,46,UNKNOWN,UNKNOWN,44.94636,-93.27494
34,S7,SB,Thu Oct 11 17:46:29 CDT 2018,49,UNKNOWN,UNKNOWN,44.939840000000004,-93.27498
35,S8,SB,Thu Oct 11 17:46:29 CDT 2018,51,UNKNOWN,UNKNOWN,44.93465,-93.27481999999999
36,S9,SB,Thu Oct 11 17:46:29 CDT 2018,52,UNKNOWN,UNKNOWN,44.92727,-93.27492
37,S618,SB,Thu Oct 11 17:46:29 CDT 2018,21,64,780,45.01032,-93.18502
38,S659,NB,Thu Oct 11 17:46:29 CDT 2018,6,25,1400,45.06595,-93.18596
39,S656,NB,Thu Oct 11 17:46:29 CDT 2018,12,68,1200,45.0417,-93.18926
40,S657,NB,Thu Oct 11 17:46:29 CDT 2018,10,48,1600,45.04845,-93.18875
41,S654,NB,Thu Oct 11 17:46:29 CDT 2018,15,65,1440,45.027879999999996,-93.19084000000001
42,S652,NB,Thu Oct 11 17:46:29 CDT 2018,19,61,1200,45.015840000000004,-93.18749
43,S653,NB,Thu Oct 11 17:46:29 CDT 2018,17,65,1080,45.02218,-93.18969
44,S664,NB,Thu Oct 11 17:46:29 CDT 2018,1,31,1600,45.07241,-93.18525
45,S697,SB,Thu Oct 11 17:46:29 CDT 2018,18,61,1020,45.01578,-93.18804
46,S685,NB,Thu Oct 11 17:46:29 CDT 2018,8,72,880,45.07251,-93.18555
47,S685,SB,Thu Oct 11 17:46:29 CDT 2018,1,72,880,45.07251,-93.18555
48,S686,SB,Thu Oct 11 17:46:29 CDT 2018,4,68,680,45.065979999999996,-93.18629
49,S695,SB,Thu Oct 11 17:46:29 CDT 2018,15,67,1520,45.027879999999996,-93.19115
50,S692,SB,Thu Oct 11 17:46:29 CDT 2018,10,66,660,45.04851,-93.18906
51,S693,SB,Thu Oct 11 17:46:29 CDT 2018,12,69,920,45.0417,-93.18961
52,S691,SB,Thu Oct 11 17:46:29 CDT 2018,8,66,1120,45.05605,-93.18789
53,S256,NB,Thu Oct 11 17:46:29 CDT 2018,40,72,780,44.974470000000004,-93.2487
54,S1718,SB,Thu Oct 11 17:46:29 CDT 2018,60,61,720,44.89542,-93.27571
55,S10,SB,Thu Oct 11 17:46:29 CDT 2018,54,70,810,44.92003,-93.27488000000001
56,S13,SB,Thu Oct 11 17:46:29 CDT 2018,75,79,1260,44.85991,-93.29856
57,S15,SB,Thu Oct 11 17:46:29 CDT 2018,61,69,780,44.89549,-93.27512
58,S14,SB,Thu Oct 11 17:46:29 CDT 2018,57,65,1080,44.90227,-93.27509
59,S17,SB,Thu Oct 11 17:46:29 CDT 2018,62,60,840,44.89038,-93.28818000000001
60,S19,SB,Thu Oct 11 17:46:29 CDT 2018,65,53,1800,44.88238,-93.29604
61,S18,SB,Thu Oct 11 17:46:29 CDT 2018,63,64,1080,44.8899,-93.29425
62,S20,SB,Thu Oct 11 17:46:29 CDT 2018,66,72,900,44.87647,-93.29829000000001
63,S21,SB,Thu Oct 11 17:46:29 CDT 2018,67,71,1200,44.87106,-93.29904
64,S23,SB,Thu Oct 11 17:46:29 CDT 2018,71,84,1200,44.86282,-93.29875
65,S43,NB,Thu Oct 11 17:46:29 CDT 2018,84,72,600,44.85709,-93.29809
66,S46,NB,Thu Oct 11 17:46:29 CDT 2018,78,74,1620,44.87102,-93.2987
67,S45,NB,Thu Oct 11 17:46:29 CDT 2018,79,69,1320,44.86681,-93.29888000000001
68,S48,NB,Thu Oct 11 17:46:29 CDT 2018,75,76,1440,44.88241,-93.29573
69,S47,NB,Thu Oct 11 17:46:29 CDT 2018,77,63,2160,44.87642,-93.29794
70,S49,NB,Thu Oct 11 17:46:29 CDT 2018,73,68,600,44.88792,-93.29581
71,S51,NB,Thu Oct 11 17:46:29 CDT 2018,70,59,880,44.890409999999996,-93.27683
72,S50,NB,Thu Oct 11 17:46:29 CDT 2018,72,63,1020,44.89026,-93.28815999999999
73,S53,NB,Thu Oct 11 17:46:29 CDT 2018,67,66,960,44.90194,-93.2748
74,S52,NB,Thu Oct 11 17:46:29 CDT 2018,69,71,1020,44.89477,-93.2748
75,S54,NB,Thu Oct 11 17:46:29 CDT 2018,65,66,810,44.906929999999996,-93.27476
76,S57,NB,Thu Oct 11 17:46:29 CDT 2018,61,40,1680,44.92716,-93.27462
